market_id,market_name,street,city,state,zip,lat,lon
1018261,Caledonia Farmers Market Association - Danville,,0,0,5828,44.411036,-72.140337
1009994,18th Street Farmer's Market,18th and Broadway,1,1,69361,41.864268,-103.662538
1000709,26th Annual Highlands Business Partnership's Farmers Market,71 Waterwitch Avenue,2,2,7732,40.404837,-73.994358
1019956,29 Palms Farmers' Market,73484 Twentynine Palms Hwy,3,3,92277,34.13576,-116.058946
1009959,2nd Street Market - Five Rivers MetroPark,600 E. 2nd Street,4,4,45402,39.762593,-84.18103
1004950,3 French Hens French Country Market,123 W. Illinois ave.,5,5,60450,41.356383,-88.425186
1019938,3rd Day Farmer's Market,3234 S. LaChance Rd,6,6,49651,44.292952,-85.296147
1021607,4 Veggies & 3 Fruits Farmer’s Market,140 W 62nd Street,7,5,60621,41.781896,-87.629595
1018965,61st Street Farmers Market,6100 S. Blackstone Ave,7,5,60637,41.784079,-87.5905914
1009004,A Growers' Market,229 Lake Ella Drive,8,7,32303,30.461953,-84.279874
1019473,Aberdeen Sunday Market,Broadway between Heron & State St,9,8,98520,46.972973,-123.816413
1010487,Abingdon Farmers Market,Corner of Remsburg Drive & Cummings St,10,9,24212,36.708863,-81.97716
1019695,Abita Springs Art & Farmers Market,22049 Main Street,11,10,70420,30.479064,-90.038907
1021442,Adams County Farmer's Market,110 W. Main St.,12,4,45693,38.795296,-83.546357
1019676,Adams County Farmers Market,103 Carlisle Street,13,11,17325,39.830597,-77.234147
1019351,Adams County Farmers' Market Association,103 Carlisle Street,13,11,17325,39.830597,-77.234147
1019847,Adams-Ricci Farmers Market,100 East Penn Drive,14,11,17025,40.273997,-76.937407
1008961,Adaptations' Fresh Feast,"79-7500 Mamalahoa Highway, Unit 1",15,12,96750,19.525784,-155.9236509
1019203,AG Farmers' Market,108 Indian Head Road,16,2,8753,39.992509,-74.207478
1012233,Agricenter International Farmer's Market,7777 Walnut Grove Rd,17,13,38120,35.127452,-89.801733
1005258,Aina Moana  Park (People's Open Market),1201 Ala Moana Boulevard,18,12,96822,21.287867,-157.84493
